Aa en Hunze;2.4;-;-;-;0
Aalburg;-;1.8;0;0;-
Aalsmeer;-;-;5.2;-;-
Aalten;-;-;-;5.2;-
Achtkarspelen;0;-;0;0;3.4
Alblasserdam;-;0;-;-;-
Albrandswaard;-;-;0;-;-
Alkmaar;-;-;0;-;0
Almelo;-;-;0;0;0
Almere;-;0;0.2;0;0
Alphen aan den Rijn;-;-;0.4;-;-
